transaction_hash,block_number,date,asset_id,seller,buyer,maker,taker,sale_price_eth,sale_price_usd
0xfec88896c81a9fb4c55c9a5ded589abbedddb2dc7c4d4a39683897dd5349051d,14166435,2022-02-08,6382,0xf2469963bdb886dd37917ec1f0693abdf1fce30f,0x99b476d2d2a1d13b81454a11c81ab8211b18902d,0x99b476d2d2a1d13b81454a11c81ab8211b18902d,0xf2469963bdb886dd37917ec1f0693abdf1fce30f,19.0,59849.11242468588
0x14c90b44eaad73adb076b8c9cb343bc6dad209444915b7d3f78b22d3995bf49e,14166316,2022-02-08,2240,0xb41b2eac387b75f90787bcefbf1c4a22c83f8dfd,0x2806214ca8400ee7575ca4de0f9272d440e4f067,0xb41b2eac387b75f90787bcefbf1c4a22c83f8dfd,0x2806214ca8400ee7575ca4de0f9272d440e4f067,14.9,46934.30395409577
0x860928098932521950b7212f402595f89132d5106873e3d1ab4dc99fe714fd1b,14166170,2022-02-08,18368,0x50a0258e05e84ef5f35b55be4d3ed9379fdfe475,0xae107c0618cbe4544658560dc561cac30196b095,0x50a0258e05e84ef5f35b55be4d3ed9379fdfe475,0xae107c0618cbe4544658560dc561cac30196b095,28.888,90995.85051180662
0xa91154c99a9037e744d62586d02a5a0d1f22de453f15df2ac3ca773f4a9b1a85,14166131,2022-02-08,11991,0x1c5236df0243041c2edb2def017a24daf1fe344d,0x21938a693771d5dbe7fce8d1ed6fe6a6efaf6435,0x21938a693771d5dbe7fce8d1ed6fe6a6efaf6435,0x1c5236df0243041c2edb2def017a24daf1fe344d,25.0,78748.83213774458
0x6a17ef260b9ac36f527bf62be36454d9e0a320eb6c2ce8585cbdb081615606ac,14166113,2022-02-08,13581,0xf8e57f654d24d89d2896c2f62cb5a62a2e263400,0x84185f2fd70c5671bba2de2d0c684cb7f55f76e6,0x84185f2fd70c5671bba2de2d0c684cb7f55f76e6,0xf8e57f654d24d89d2896c2f62cb5a62a2e263400,17.0,53549.20585366632
0x76d2281867bcf54675a99d7f8104bf5090e7efbf8a9009a779cabe146498f9b4,14166095,2022-02-08,15277,0xdf9749659a797f991693f16a9ace4b5347f77e5e,0x7040d76c32765f1bd8d5c7f2cc8288076cc2b956,0xdf9749659a797f991693f16a9ace4b5347f77e5e,0x7040d76c32765f1bd8d5c7f2cc8288076cc2b956,15.0,47249.299282646745
0x5d82ad6836b195c5df4f458af58ea7dff50525e9fc2c151aa59125d312fd18eb,14165763,2022-02-08,6057,0xdc453f15928ab071564e296ce4cdafd6e074dd48,0x1d3a44f4ac3a7f603c58c0d8e4a4749ea1757af8,0xdc453f15928ab071564e296ce4cdafd6e074dd48,0x1d3a44f4ac3a7f603c58c0d8e4a4749ea1757af8,19.0,59849.11242468588
0x91e52cd19eeb82c66a4ee4af383ddf040a5f285b386556eeed2fbf54cc6efb3d,14165556,2022-02-08,4415,0x89ae62443249c2f6ad6e7e85e12aa25b82376eee,0x49784e92923ef52a2d0b668d15e16a9272229619,0x89ae62443249c2f6ad6e7e85e12aa25b82376eee,0x49784e92923ef52a2d0b668d15e16a9272229619,50.0,157497.66427548917
0x400766da1e02a932e2ca2b6fabee384d33020f2ba9c6b36b865b818965764c8d,14165429,2022-02-08,7962,0x5f9cf8a351ed1baa47b15f7e4df72eb31e613c6c,0x7d0226e3db3356a166a5fccb491f8d83c295c93f,0x5f9cf8a351ed1baa47b15f7e4df72eb31e613c6c,0x7d0226e3db3356a166a5fccb491f8d83c295c93f,19.5,61424.08906744077
0xd61a133c08ea5319708432171397ef66ee8f7de51f4d8ca90995eae29b68d688,14165326,2022-02-08,16166,0x305fe9bc5257527cecba481bc01c615750f8bca7,0x59c37e8a57cd4b711aa878449b9181ccb8d03dd2,0x305fe9bc5257527cecba481bc01c615750f8bca7,0x59c37e8a57cd4b711aa878449b9181ccb8d03dd2,19.4,61109.09373888979
0xef4bcb14d4d8279e789a40479a6f139584d719ffb7c2afaf68dceaac6a4146f8,14165197,2022-02-08,6278,0x081e92f8b195999d71b8c88d042da75f8be8ed9f,0x9f8f604c0370e5d74dd9dc67cfed03e25682a912,0x081e92f8b195999d71b8c88d042da75f8be8ed9f,0x9f8f604c0370e5d74dd9dc67cfed03e25682a912,14.9,46934.30395409577
0xb1c750c95930da15fa86de277a512252a023a7315a46db67f2c67289d63cced6,14165189,2022-02-08,12954,0x9f8f604c0370e5d74dd9dc67cfed03e25682a912,0xea5d07da044160932a68fa56f8357e5f75737613,0xea5d07da044160932a68fa56f8357e5f75737613,0x9f8f604c0370e5d74dd9dc67cfed03e25682a912,19.0,59849.11242468588
0x8ed9c4162060c3d61824227ce38266d765786bd2cf2af8272f57e14d53f3a6f5,14164975,2022-02-08,9912,0x198ad6c547d20d70f2f656a4f48e6c7cfb7b4325,0x7d7bc73a24d376611f689b81e56a87f7795409fb,0x198ad6c547d20d70f2f656a4f48e6c7cfb7b4325,0x7d7bc73a24d376611f689b81e56a87f7795409fb,14.5,45674.322639891856
